书名,作者,译者,出版社,出版时间,价格,评分,评论人数,简介
肖申克的救赎,[美] 斯蒂芬·金,施寄青、赵永芬、齐若兰,人民文学出版社,2006-7,29.90元,9.1,69636,这本书收入斯蒂芬·金的四部中篇小说，是他作品中的杰出代表作。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。目前，这本...
黄金时代,王小波,,花城出版社,1999-3,19.00元,8.8,105829,《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，...
无人生还,[英] 阿加莎・克里斯蒂,祁阿红,人民文学出版社,2008-3,19.00,8.9,78791,十个互不相识的人，被富有的欧文先生邀请到了印地安岛上的私人别墅里。晚餐后，一个神秘的声音揭开了人们心中所各自隐藏着的可怕秘密。当天晚上，年轻的马斯顿先生离奇...
王考,童伟格,,后浪丨四川人民出版社,2019-7,42.00元,8.7,1064,一位难以解读的小说家一部台湾文学史上不可忽视的经典联合报文学小说大奖得主，童伟格作品首次引进◎ 编辑推荐★  童伟格是台湾六年级小说家中最具代表性的...
人生,路遥,,北京十月文艺出版社,2009-5,20.00元,8.4,40119,《人生》是路遥的一部中篇小说，发表于1982年，它以改革时期陕北高原的城乡生活为时空背景，叙述了高中毕业生高加林回到土地又离开土地，再回到土地这样人生的变化...
东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,人民文学出版社,2006-5,18.00元,9.0,77667,午夜过后，一场大雪迫使东方快车停了下来。这辆豪华列车整年都处于满员状态。但那天早上却发现少了一名乘客。一个美国人死在了他的包厢里，他被刺了十二刀，可他包厢的...
哈利·波特与火焰杯,[英] J. K. 罗琳,马爱新,人民文学出版社,2001-5,39.80元,9.0,115204,《哈利·波特与火焰杯》是“哈利·波特”系列的第四部。哈利·波特在霍格沃茨魔法学校经过三年的学习和磨炼，逐渐成长为一个出色的巫师。新学年开始前，哈利和好朋友...
喜鹊谋杀案,[英] 安东尼·霍洛维茨、Anthony Horowitz,梁清新,新星出版社,2019-6,69.00元,7.9,5427,安东尼•霍洛维茨，蜚声世界的著名侦探小说大师、有史以来唯一被柯南•道尔产权会认证的续写福尔摩斯之人。亚马逊，NPR， 《华盛顿邮报》， Esquire， ...
动物农场,[英] 乔治·奥威尔,荣如德,上海译文出版社,2007-3,10.00元,9.2,68453,《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一...
平凡的世界,路遥,,"北京出版集团公司,北京十月文艺出版社",2012-3-1,CNY 79.80,9.0,29946,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人...
我的天才女友,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-1,42.00元,8.5,41515,只有你身为女人才会知道这些丑陋的秘密两个女人，50年的友谊和战争过去五年，几乎所有欧美读者都在谈论她、全球畅销百万册 被翻译成40种语言《金融时报》...
岛上书店,[美] 加布瑞埃拉·泽文,孙仲旭、李玉瑶,江苏凤凰文艺出版社,2015-5-1,CNY 35.00,7.6,108316,每个人的生命中，都有最艰难的那一年，将人生变得美好而辽阔。---------------------A．J．费克里，人近中年，在一座与世 隔绝的小岛上，...
羊脂球,（法）莫泊桑,柳鸣九,北京燕山出版社,2007-6,13.50元,8.1,78213,莫泊桑短篇小说的代表作。写普法战争时，法国的一群贵族、政客、商人、修女等高贵者，和一个叫作羊脂球的妓女，同乘一辆马车逃离普军占区，在一关卡受阻。普鲁士军官要...
呐喊,鲁迅,,人民文学出版社,1973年3月,0.36元,8.9,71589,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改...
有匪（全集）,Priest,,湖南文艺出版社,2017-10,140.00元,8.7,6765,豆瓣年度读书榜单推荐作品大神级作家Priest古言小说扛鼎之作二十年前，“南刀”李徽奉旨为匪，建蜀山四十八寨，收天下落魄之人。二十年后，一位自称谢允的...
魔道祖師 一,墨香铜臭,,平心工作室,2016-12-8,NT330元,7.9,20342,墨香銅臭年度最具話題性的超強人氣之作！額外收錄繁體版獨家番外重生於世的一代魔頭，非但沒有再掀腥風血雨，竟還和正派人士一起調查疑案，鏟妖除魔？！更驚人...
窗边的小豆豆,[日] 黑柳彻子 著、岩崎千弘 图,赵玉皎,南海出版公司,2003-1,20.00元,8.7,126672,《窗边的小豆豆》讲述了作者上小学时的一段真实的故事。作者因淘气被原学校退学后，来到巴学园。在小林校长的爱护和引导下，让一般人眼里“怪怪”的小豆豆逐渐成了一个...
围城,钱钟书,,人民文学出版社,1991-2-1,39.00元,9.3,34952,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的...
82年生的金智英,[韩]赵南柱,尹嘉玄,贵州人民出版社,2019-9,45.00元,7.9,8883,一个女孩要经历多少看不见的坎坷，才能跌跌撞撞地长大成人。亚洲10年来罕见的现象级畅销书，凭口口相传在韩国销量突破100万册。韩国书店联合会评选2017年...
白夜行,[日] 东野圭吾,刘姿君,南海出版公司,2013-1-1,CNY 39.50,9.2,182048,东野圭吾万千书迷心中的无冕之王周刊文春推理小说年度BEST10第1名本格推理小说年度BEST10第2名《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备...
傲慢与偏见,[英] 奥斯丁,张玲、张扬,人民文学出版社,1993-7,13.00元,8.8,157449,《傲慢与偏见》是简·奥斯汀的代表作，是一部描写爱情与婚姻的经典小说。作品以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘：伊丽...
